SKU,Nombre
2256,JUEGO DE MANOMETRO CON MANGUERAS R410-R134 Y BLISTER
W11350838,KIT RELAY REF. WH. ORG. W11350838
2034,LUZ LED LARGO SAMSUNG DA96-01119A
2013,MANOMETRO DIGITAL C/VACUMETRO PREMIUM GB C/MALETIN DG-350
037103573063,MANOMETRO DIGITAL MANOMETROS INDEPENDIENTES GB C/MALETIN DG-05
LG AEQ72910414,MAQUINA DE HIELO LG ORG. LG AEQ72910414
139,MIRILLA INDICADORA DE HUMEDAD SA-17S
1 30PL30,MODULO DE ENCENDIDO EMERSON
1 D188,MOTOR 1/20 FASCO 1500RPM 220V
1084,MOTOR CONDENSADOR GRIS SAMSUNG ORG. DA97-15765
SAMREF01,MOTOR CONDENSADOR SAMSUNG ORG. NEGRP Z19W12MS
W10236142,MOTOR CONDENSADOR WH ORG. BLANCO 115V W10236142
W10124096E,MOTOR CONDENSADOR WH ORG. W10124096
7503044381683,MOTOR ELECTRICO PARA REF. 110-240V ECM7112
1331,MOTOR EVAP SAMSUNG 12 12V 3.21W DA31-00146E 2520 RPM
2269,MOTOR EVAP. GRIS 2 CABLS ADL-5846 110V
197D2038P025,MOTOR EVAP. MABE ORG 115V 197D2038P025
SAMREF02,MOTOR EVAP. SAMS ARES2130RA
2090,MOTOR EVAP. SAMSUNG 13A 2.1W 12V DA31-00146H 2950RPM
W10271507,MOTOR ICEMAKER WH W10271507
1107,MOTOR LG ORG. AZUL 12V 1A ODM-001F-42
1108,MOTOR LG ORG. NARANJA ODM-001F-43
2294,MOTOR REF. SAMSUNG N.12 DA31-00146E 2620 RPM
2295,MOTOR REF. SAMSUNG N.13 DA31-00146H 2900 RPM GEN.
2010,MOTOR TIPO WELLINGTON 110-240V 15W CCW
WR60X10358,MOTOR VENT. CONDENSADOR REF. GENERAL ELECTRIC WR60X10358
WR60X26866E,"MOTOR VENTILADOR EVAP. GE 4 CABLES GEN WR60X26033, WR60X26866"
PUC38,NIPLE CONECTOR RAPIDO 3/8
PUC8MM,NIPLE CONECTOR RAPIDO 8 MM
WP2188656,PAR CAJONES REF WH WP2188656
105G5951,R134COMPRESOR DANFOSS 1/2 PESADO 1
GS0003,RELOJ DE DESHIELO LG 6H OR
10079046005406,RELOJ DE DESHIELO P/ CAMARA FRIGORIFICA 110V D81-8144-00EX
10079046005505,RELOJ DE DESHIELO P/ CAMARA FRIGORIFICA D81-8145-20EX 220 V
W10844633,RELOJ DE DESHIELO WH 8.21H ORG
2150,RESISTENCIA BLINDADA 31 CM. TIPO L 60128-0013800
2151,RESISTENCIA BLINDADA 38 CM. TIPO L 60128-0013900-01
2152,RESISTENCIA BLINDADA 41 CM. TIPO L 60128-0011302-01
2153,RESISTENCIA BLINDADA 45 CM. TIPO L 60128-0017600-00
1132,RESISTENCIA BLINDADA SAMSUNG ORG DA47-00244P
1781,RESISTENCIA GANCHO LARGA DA47-000460G
1098,RESISTENCIA ICEMAKER SAMSUNG DA-47-00192E
W11115796,RESISTENCIA REF WH W11115796
X002HC9REZ,"RESISTENCIA SIRVE GE, EDGEWATER DE1121C/WE1121C"
1761,RESISTENCIA TUBULAR REF 10-1/2 X 18-1/12 PULG W10647284 WH ORG
W10345817,RESISTENCIA TUBULAR WH 15-1/2 X 3-1/2 ORG. W10345817
2032,SENSOR AMBIENTAL AMARILLO SAMSUNG DA32-00070A
1055,SOLDADURA EN FRIO LA-CO
W10440786,SUSPENSION WH. 71CM ROSA W10440786 ORG
1131,SWITCH FOCO SEC. SAMSUNG ORG. DC64-00828B
W11396033,SWITCH P/FOCO REF. WH. ORG. W11396033
